name,mark,director,release_time,length,imdb_link,cover_link,summary
这个杀手不太冷,9.4,吕克·贝松,上映日期:,110分钟(剧场版),http://www.imdb.com/title/tt0110413,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                                　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。
                                    "
少年派的奇幻漂流,9.0,李安,语言:,2012-09-28(纽约电影节),http://www.lifeofpimovie.com,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,"
                            "
十二怒汉,9.4,西德尼·吕美特,片长:,IMDb链接:,http://www.imdb.com/title/tt0050083,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,"
                                　　一个在贫民窟长大的18岁少年因为涉嫌杀害自己的父亲被告上法庭，证人言之凿凿，各方面的证据都对他极为不利。十二个不同职业的人组成了这个案件的陪审团，他们要在休息室达成一致的意见，裁定少年是否有罪，如果罪名成立，少年将会被判处死刑。
                                    "
怦然心动,8.9,罗伯·莱纳,上映日期:,片长:,http://www.imdb.com/title/tt0817177,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,"
                            "
窃听风暴,9.1,弗洛里安·亨克尔·冯·多纳斯马尔克,2006-03-23(德国),又名:,http://www.imdb.com/title/tt0405094,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,"
                                　　1984年的东德，整个社会笼罩在国家安全局的高压统治之下，特工魏斯曼（乌尔利希·穆厄 饰）奉命监听剧作家德莱曼（塞巴斯蒂安·寇治 饰）及其女友演员克里斯蒂娜（玛蒂娜·杰蒂克 饰）的生活，监听过程中，魏斯曼渐渐对这家人的生活产生了兴趣，开始暗中帮助他们。一篇刊登在西德《明 镜》报上的文章引起了特工头目的注意，他们认为这篇文章是德莱曼写的，并逮捕了克里斯蒂娜，希望能够从她口中得出她丈夫的秘密？而审问克里斯蒂娜的正是魏斯曼……
                        "
飞屋环游记,8.9,彼特·道格特,语言:,2009-05-13(戛纳电影节),http://www.imdb.com/title/tt1049413,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2364094053.jpg,"
                            "
疯狂动物城,9.2,拜伦·霍华德,上映日期:,109分钟(中国大陆),http://www.imdb.com/title/tt2948356,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,"
                                　　故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？
                                    "
大话西游之月光宝盒,8.9,刘镇伟,语言:,1995-01-21(香港),http://www.imdb.com/title/tt0112778,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1280323646.jpg,"
                                　　孙悟空（周星驰）护送唐三藏（罗家英）去西天取经路上，与牛魔王合谋欲杀害唐三藏，并偷走了月光宝盒，此举使观音萌生将其铲除心思，经唐三藏请求，孙悟空被判五百年后重新投胎做人赎其罪孽。
                                    "
闻香识女人,8.9,马丁·布莱斯,片长:,IMDb链接:,http://www.imdb.com/title/tt0105323,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p925123037.jpg,"
                                　　查理（克里斯•奥唐纳 Chris O'Donnell  饰）是一个普通的中学生，他因为见证着一件恶作剧但又不想出卖朋友，于是面临着一道艰难的选择题——要么坦白，要么被学校勒退。而史法兰（阿尔•帕西诺 Al Pacino  饰）是一个退伍军官，因为意外失明，人生从顶点的辉煌滑落谷底。
                                    "
控方证人,9.6,比利·怀尔德,上映日期:,116分钟,http://www.imdb.com/title/tt0051201,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,"
                            "
